configuration_id,strategy,alpha,top_k,embedding_source,mean_recall_at_k,mean_precision_at_k,mean_reciprocal_rank,all_required_retrieval_count,query_count,at_least_one_relevant_count,required_evidence_miss_count,insufficient_evidence_risk_proxy,mean_first_required_rank_where_defined,worst_query_ids,mean_retrieval_latency_ms,pareto_nondominated,stage_b_roles
hybrid.alpha-0.50.k-3,hybrid,0.5,3,PRECOMPUTED,0.8333333333333334,0.611111111111111,1.0,4,6,6,2,0,1.0,INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,2.3096833333333335,false,
hybrid.alpha-0.50.k-5,hybrid,0.5,5,PRECOMPUTED,1.0,0.6388888888888888,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.2455166666666666,false,
hybrid.alpha-0.75.k-1,hybrid,0.75,1,PRECOMPUTED,0.5,1.0,1.0,0,6,6,6,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.2353833333333335,true,
hybrid.alpha-0.75.k-2,hybrid,0.75,2,PRECOMPUTED,0.6666666666666666,0.6666666666666666,1.0,2,6,6,4,0,1.0,INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,2.172633333333333,false,
hybrid.alpha-0.75.k-3,hybrid,0.75,3,PRECOMPUTED,0.8333333333333334,0.611111111111111,1.0,4,6,6,2,0,1.0,INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,2.3910666666666667,false,
hybrid.alpha-0.75.k-5,hybrid,0.75,5,PRECOMPUTED,1.0,0.6388888888888888,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.2558666666666665,false,
hybrid.alpha-1.00.k-1,hybrid,1.0,1,PRECOMPUTED,0.5,1.0,1.0,0,6,6,6,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.243933333333333,true,
hybrid.alpha-1.00.k-2,hybrid,1.0,2,PRECOMPUTED,0.6666666666666666,0.6666666666666666,1.0,2,6,6,4,0,1.0,INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,2.193683333333333,false,
hybrid.alpha-1.00.k-3,hybrid,1.0,3,PRECOMPUTED,0.8333333333333334,0.611111111111111,1.0,4,6,6,2,0,1.0,INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,2.5656333333333334,false,
hybrid.alpha-1.00.k-5,hybrid,1.0,5,PRECOMPUTED,1.0,0.6388888888888888,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.3862666666666663,false,
lexical_only.alpha-na.k-1,lexical_only,,1,NOT_USED,0.5,1.0,1.0,0,6,6,6,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,0.27899999999999997,true,F
lexical_only.alpha-na.k-2,lexical_only,,2,NOT_USED,0.6666666666666666,0.6666666666666666,1.0,2,6,6,4,0,1.0,INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,0.22185,false,
lexical_only.alpha-na.k-3,lexical_only,,3,NOT_USED,0.8333333333333334,0.611111111111111,1.0,4,6,6,2,0,1.0,INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,0.20485,false,
lexical_only.alpha-na.k-5,lexical_only,,5,NOT_USED,1.0,0.6388888888888888,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,0.19565,false,B
no_retrieval.alpha-na.k-1,no_retrieval,,1,NOT_USED,0.0,0.0,0.0,0,6,0,12,6,,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,0.00095,false,A
no_retrieval.alpha-na.k-2,no_retrieval,,2,NOT_USED,0.0,0.0,0.0,0,6,0,12,6,,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,0.0006833333333333332,false,
no_retrieval.alpha-na.k-3,no_retrieval,,3,NOT_USED,0.0,0.0,0.0,0,6,0,12,6,,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,0.0004833333333333333,false,
no_retrieval.alpha-na.k-5,no_retrieval,,5,NOT_USED,0.0,0.0,0.0,0,6,0,12,6,,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,0.0005666666666666666,false,
semantic_only.alpha-na.k-1,semantic_only,,1,PRECOMPUTED,0.5,1.0,1.0,0,6,6,6,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.2388166666666667,true,
semantic_only.alpha-na.k-2,semantic_only,,2,PRECOMPUTED,0.75,0.75,1.0,3,6,6,3,0,1.0,INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDYGLOW,2.149966666666667,true,
semantic_only.alpha-na.k-3,semantic_only,,3,PRECOMPUTED,1.0,0.7222222222222222,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.053366666666667,true,C
semantic_only.alpha-na.k-5,semantic_only,,5,PRECOMPUTED,1.0,0.6388888888888888,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.114133333333333,false,
