observation_id,query_id,eligible_evidence_ids,subset_evidence_ids,subset_size,eligible_size,evidence_count,evidence_fraction,sku_scoped_evidence_fraction,merchant_scope_evidence_present,product_scope_evidence_present,max_score,mean_score,score_margin,source_kind_count,source_kind_diversity,constraint_count,constraint_family_purpose,constraint_family_exclusion,evidence_text_kchars_mean,semantic_input_sha256,execution_provenance,source_run_id,source_observation_id,semantic_status,semantic_verdict,final_action,frozen_full_evidence_action,decision_stable,provider_error,reason_code,live_latency_ms,live_input_tokens,live_output_tokens
INT3:INT2-Q-STUDYGLOW:m1011,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|study-club-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.6666666666666666,1.0,1.0,0.8397096636165347,0.4702411058455673,0.5481040387430284,3.0,1.0,2.0,1.0,1.0,0.121,56b1b4c6740965c1c1d8df86dfcffd2216ebedae68ae0e93bf7462a8ed1f7ece,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,2180.615899967961,554,73
INT3:INT2-Q-STUDYGLOW:m0111,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.3333333333333333,0.0,1.0,0.8397096636165347,0.5798155714736575,0.23157823768560315,2.0,0.6666666666666666,2.0,1.0,1.0,0.11566666666666667,d801c28c1bb7cb4bea7e18462197092e619419bcd4ebf48c583cbf28c0e793f6,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,1729.535499936901,495,70
INT3:INT2-Q-STUDYGLOW:m1111,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,4,4,4.0,1.0,0.5,1.0,1.0,0.8397096636165347,0.5047136858669083,0.23157823768560315,3.0,0.75,2.0,1.0,1.0,0.1225,f9883afcb502f7de7b72f47779e296bc2dd5c3125b2ba3ae1d83a993e84e5c76,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,B:INT2-Q-STUDYGLOW,EVALUATED,PASS,ALLOW,ALLOW,1,,,,,
INT3:INT2-Q-NOTEBOOK:m1000,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1,1,4,1.0,0.25,1.0,1.0,0.0,0.30222218819611757,0.30222218819611757,0.0,1.0,1.0,2.0,1.0,1.0,0.143,4fc26a1bacb6289649c6a744d69845a184d32252c953349ca75b07dbb6d84798,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,3317.3584999749437,508,99
INT3:INT2-Q-NOTEBOOK:m0100,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1,1,4,1.0,0.25,1.0,0.0,1.0,0.8346949427590558,0.8346949427590558,0.0,1.0,1.0,2.0,1.0,1.0,0.127,ce238744c991b8d12a3261b024d46f7b88b5751f3a211cddc4b5c5ed354e6ff1,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,F:INT2-Q-NOTEBOOK,EVALUATED,PASS,ALLOW,ALLOW,1,,,,,
INT3:INT2-Q-NOTEBOOK:m0010,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,study-club-evidence-v1,1,4,1.0,0.25,0.0,0.0,0.0,0.2506676426969517,0.2506676426969517,0.0,1.0,1.0,2.0,1.0,1.0,0.104,34f76fc99cfdb52b78aa210b2c64f2b0cfeae5adae84916c8891942edeec082e,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,2318.2522000279278,443,100
INT3:INT2-Q-NOTEBOOK:m0001,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,studyglow-evidence-v1,1,4,1.0,0.25,0.0,0.0,0.0,0.5335326903522317,0.5335326903522317,0.0,1.0,1.0,2.0,1.0,1.0,0.116,5088cfe410df7eee2fa7cc543656c0baa6bb61fb671657cdf5642165a97bbd62,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,3117.69640003331,449,89
INT3:INT2-Q-NOTEBOOK:m1100,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1,2,4,2.0,0.5,1.0,1.0,1.0,0.8346949427590558,0.5684585654775867,0.5324727545629382,2.0,1.0,2.0,1.0,1.0,0.135,32bcb37c484cc84febe25b87b80b56248126f6853bfc55daba8fe4d78e51abe9,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,4158.843599958345,562,73
INT3:INT2-Q-NOTEBOOK:m1010,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|study-club-evidence-v1,2,4,2.0,0.5,0.5,1.0,0.0,0.30222218819611757,0.2764449154465346,0.05155454549916588,2.0,1.0,2.0,1.0,1.0,0.1235,919bbea9265e7434a00fca63ef1dabab5951b015f9c27e39bc7e982f9d09e265,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,2423.9257000153884,503,109
INT3:INT2-Q-NOTEBOOK:m1001,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.5,1.0,0.0,0.5335326903522317,0.41787743927417464,0.23131050215611415,2.0,1.0,2.0,1.0,1.0,0.1295,94b2a4a1d9ad7418f440e2d0ea0fa0da66cd901554c252929be8abae7124f985,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,2463.7721000472084,503,109
INT3:INT2-Q-NOTEBOOK:m0110,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|study-club-evidence-v1,2,4,2.0,0.5,0.5,0.0,1.0,0.8346949427590558,0.5426812927280037,0.5840273000621041,2.0,1.0,2.0,1.0,1.0,0.1155,7595debded3b83cd184d4d9d25661eb09bbc7cb5d0e4cf10859b720d8ed9edca,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,2542.227700003423,507,71
INT3:INT2-Q-NOTEBOOK:m0101,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.5,0.0,1.0,0.8346949427590558,0.6841138165556437,0.30116225240682404,1.0,0.5,2.0,1.0,1.0,0.1215,1b86311da7b6afc13e325becd9bd259f6be587c77f5930b9c86ed6b2ee234ef8,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,3251.0677999816835,507,72
INT3:INT2-Q-NOTEBOOK:m0011,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,study-club-evidence-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.0,0.0,0.0,0.5335326903522317,0.3921001665245917,0.28286504765528003,2.0,1.0,2.0,1.0,1.0,0.11,5b81276f457a28a3c811ba66b671158e049401615d08a20bc9af2fbfb9253370,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,3433.3554999902844,451,72
INT3:INT2-Q-NOTEBOOK:m1110,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1,3,4,3.0,0.75,0.6666666666666666,1.0,1.0,0.8346949427590558,0.46252825788404167,0.5324727545629382,3.0,1.0,2.0,1.0,1.0,0.12466666666666668,fa57dd349014c68bc8c0b498b6067cbd851eb95bb69e31c742fe8a386c725df9,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,1886.6827000165358,568,75
INT3:INT2-Q-NOTEBOOK:m1101,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.6666666666666666,1.0,1.0,0.8346949427590558,0.5568166071024684,0.30116225240682404,2.0,0.6666666666666666,2.0,1.0,1.0,0.12866666666666665,1c5b0fda84bf996157a22f9ab6dd0f632c749fbc646f27fe5a45ac9242cdae0e,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,C:INT2-Q-NOTEBOOK,EVALUATED,PASS,ALLOW,ALLOW,1,,,,,
INT3:INT2-Q-NOTEBOOK:m1011,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|study-club-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.3333333333333333,1.0,0.0,0.5335326903522317,0.3621408404151003,0.23131050215611415,3.0,1.0,2.0,1.0,1.0,0.121,2c1ca0d62da5580f5b6bb2136f69d07f8a5bc75dd525dbb7a2ac380a75041c14,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,2130.156800034456,507,106
INT3:INT2-Q-NOTEBOOK:m0111,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.3333333333333333,0.0,1.0,0.8346949427590558,0.5396317586027464,0.30116225240682404,2.0,0.6666666666666666,2.0,1.0,1.0,0.11566666666666667,d912904e67ff0c8c3ab7462c854b910ef9721563faae17d44009aead956ba36a,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,2103.1716000288725,505,71
INT3:INT2-Q-NOTEBOOK:m1111,INT2-Q-NOTEBOOK,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,4,4,4.0,1.0,0.5,1.0,1.0,0.8346949427590558,0.48027936600108917,0.30116225240682404,3.0,0.75,2.0,1.0,1.0,0.1225,d220660c03eae36acff0a1d984a666038ec5af7aa8d2dec440168e6bc59b784e,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,B:INT2-Q-NOTEBOOK,EVALUATED,PASS,ALLOW,ALLOW,1,,,,,
INT3:INT2-Q-STUDY-CLUB:m1000,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1,1,4,1.0,0.25,1.0,1.0,0.0,0.31824395149660095,0.31824395149660095,0.0,1.0,1.0,1.0,0.0,1.0,0.143,a0bf96c8ca3bf354add9ac0a3b34104064d626fc0bbc5b0af75f7188aebf60e3,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,BLOCK,0,,,1900.5200000246987,464,49
INT3:INT2-Q-STUDY-CLUB:m0100,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1,1,4,1.0,0.25,0.0,0.0,0.0,0.3426432553025006,0.3426432553025006,0.0,1.0,1.0,1.0,0.0,1.0,0.127,f8523d35e899b10e3d30dd9aa55bbf2b01cc623e9988fe7e5f54f851ac8ffb02,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,BLOCK,0,,,4890.360000077635,405,53
INT3:INT2-Q-STUDY-CLUB:m0010,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,study-club-evidence-v1,1,4,1.0,0.25,1.0,0.0,1.0,0.880977754448629,0.880977754448629,0.0,1.0,1.0,1.0,0.0,1.0,0.104,463dd1f37e3a4daf6d04909e7466562a636b9aa73bb17cca3a1a761fd971bf85,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,F:INT2-Q-STUDY-CLUB,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,,,
INT3:INT2-Q-STUDY-CLUB:m0001,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,studyglow-evidence-v1,1,4,1.0,0.25,0.0,0.0,0.0,0.3935491089135315,0.3935491089135315,0.0,1.0,1.0,1.0,0.0,1.0,0.116,87d690d5cbd4491852baf540646485d3f6733712384c0795070eb498405ebc15,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,BLOCK,0,,,1597.5126000121236,405,52
INT3:INT2-Q-STUDY-CLUB:m1100,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1,2,4,2.0,0.5,0.5,1.0,0.0,0.3426432553025006,0.3304436033995508,0.024399303805899664,2.0,1.0,1.0,0.0,1.0,0.135,3e0111d02c7732729393427df54a973117bf95e41e7c23b25f5c14e2e53e3b12,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,BLOCK,0,,,2856.3491000095382,461,51
INT3:INT2-Q-STUDY-CLUB:m1010,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|study-club-evidence-v1,2,4,2.0,0.5,1.0,1.0,1.0,0.880977754448629,0.599610852972615,0.5627338029520281,2.0,1.0,1.0,0.0,1.0,0.1235,d5653473929d6b13bab85f84d57eb0af6644dbe4906816c447d1bfd2af86f68b,NEW_LIVE_EXECUTION,,,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,1888.2189000723884,512,47
INT3:INT2-Q-STUDY-CLUB:m1001,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.5,1.0,0.0,0.3935491089135315,0.35589653020506623,0.07530515741693056,2.0,1.0,1.0,0.0,1.0,0.1295,3333c8a4146169226349d403df41cf4ce812c7850269bc4fc15d01f3f0b228b6,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,BLOCK,0,,,1525.174899958074,459,49
INT3:INT2-Q-STUDY-CLUB:m0110,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|study-club-evidence-v1,2,4,2.0,0.5,0.5,0.0,1.0,0.880977754448629,0.6118105048755649,0.5383344991461284,2.0,1.0,1.0,0.0,1.0,0.1155,39cee3017f08fd277783fe28ceb84f34cbfb3a9e0f6a9452c3f54fca21538653,NEW_LIVE_EXECUTION,,,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,1515.248200041242,459,47
INT3:INT2-Q-STUDY-CLUB:m0101,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.0,0.0,0.0,0.3935491089135315,0.3680961821080161,0.05090585361103089,1.0,0.5,1.0,0.0,1.0,0.1215,4284abd180f3aeb291553112169479d0b8594d7fa9cf438252709db2d2e9fa69,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,BLOCK,0,,,1708.4106999682263,405,66
INT3:INT2-Q-STUDY-CLUB:m0011,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,study-club-evidence-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.5,0.0,1.0,0.880977754448629,0.6372634316810802,0.4874286455350975,2.0,1.0,1.0,0.0,1.0,0.11,7bdd1c8ee41cad2a5eaf6bae63577ce01d9a9b6c60cbd01d79bac2525d5b73c6,NEW_LIVE_EXECUTION,,,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,1354.9430000130087,461,47
INT3:INT2-Q-STUDY-CLUB:m1110,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1,3,4,3.0,0.75,0.6666666666666666,1.0,1.0,0.880977754448629,0.5139549870825769,0.5383344991461284,3.0,1.0,1.0,0.0,1.0,0.12466666666666668,0a80734858d1089265d170d30b34388677f7db9ca1f0855e6088c393869fb867,NEW_LIVE_EXECUTION,,,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,2963.8453000225127,520,56
INT3:INT2-Q-STUDY-CLUB:m1101,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.3333333333333333,1.0,0.0,0.3935491089135315,0.351478771904211,0.05090585361103089,2.0,0.6666666666666666,1.0,0.0,1.0,0.12866666666666665,98db3119878a23ff833d712e335ee262b7d777437ed9d35c21466d41ee6fb47b,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,BLOCK,0,,,1818.5047999722883,460,45
INT3:INT2-Q-STUDY-CLUB:m1011,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|study-club-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.6666666666666666,1.0,1.0,0.880977754448629,0.5309236049529206,0.4874286455350975,3.0,1.0,1.0,0.0,1.0,0.121,d3d09d90491579b2ddaac3e0a2b49bcfe7545827707531236ee92a96c1865802,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,C:INT2-Q-STUDY-CLUB,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,,,
INT3:INT2-Q-STUDY-CLUB:m0111,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.3333333333333333,0.0,1.0,0.880977754448629,0.5390567062215538,0.4874286455350975,2.0,0.6666666666666666,1.0,0.0,1.0,0.11566666666666667,c387be12f05c62360458d9b5088af9c002bf8bfe2b2b55b3948d73475ddc8d6f,NEW_LIVE_EXECUTION,,,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,1451.5613000839949,457,47
INT3:INT2-Q-STUDY-CLUB:m1111,INT2-Q-STUDY-CLUB,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,4,4,4.0,1.0,0.5,1.0,1.0,0.880977754448629,0.4838535175403155,0.4874286455350975,3.0,0.75,1.0,0.0,1.0,0.1225,caeac07142bec9baf0d1d0b117376f0f0924ab6348e84bead3f8f7baa46a1ebf,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,B:INT2-Q-STUDY-CLUB,EVALUATED,VIOLATION,BLOCK,BLOCK,1,,,,,
